Topic:1
mentions :0.053374151470783976
downloads :0.009516630547441817
making :0.009516630547441817
middle :0.009516630547441817
due :0.009516630547441817
guess :0.009516630547441817
type :0.009516630547441817
read :0.009516630547441817
docs :0.009516630547441817
raise :0.009516630547441817
register :0.009516630547441817
dev :0.009516630547441817
session :0.009516630547441817
talk :0.009516630547441817
voice :0.009516630547441817
real :0.009516630547441817
followers :0.009516630547441817
iphone :9.422406482615661E-5
crack :9.422406482615661E-5
adding :9.422406482615661E-5
support :9.422406482615661E-5
announced :9.422406482615661E-5
youtube :9.422406482615661E-5
video :9.422406482615661E-5
guy :9.422406482615661E-5
siri :9.422406482615661E-5
pretty :9.422406482615661E-5
rim :9.422406482615661E-5
made :9.422406482615661E-5
easy :9.422406482615661E-5
switch :9.422406482615661E-5
yeah :9.422406482615661E-5
realized :9.422406482615661E-5
current :9.422406482615661E-5
blackberry :9.422406482615661E-5
disappointed :9.422406482615661E-5
move :9.422406482615661E-5
android :9.422406482615661E-5
things :9.422406482615661E-5
sooo :9.422406482615661E-5
glad :9.422406482615661E-5
gave :9.422406482615661E-5
sense :9.422406482615661E-5
humor :9.422406482615661E-5
personal :9.422406482615661E-5
event :9.422406482615661E-5
tonight :9.422406482615661E-5
store :9.422406482615661E-5
companies :9.422406482615661E-5
experience :9.422406482615661E-5
customer :9.422406482615661E-5
service :9.422406482615661E-5
apply :9.422406482615661E-5
job :9.422406482615661E-5
hope :9.422406482615661E-5
call :9.422406482615661E-5
lol :9.422406482615661E-5
lmao :9.422406482615661E-5
find :9.422406482615661E-5
hide :9.422406482615661E-5
body :9.422406482615661E-5
registered :9.422406482615661E-5
developer :9.422406482615661E-5
appreciated :9.422406482615661E-5
wow :9.422406482615661E-5
deals :9.422406482615661E-5
ipad :9.422406482615661E-5
gen :9.422406482615661E-5
offers :9.422406482615661E-5
ipads :9.422406482615661E-5
learning :9.422406482615661E-5
trip :9.422406482615661E-5
kong :9.422406482615661E-5
gotta :9.422406482615661E-5
hand :9.422406482615661E-5
iphones :9.422406482615661E-5
apps :9.422406482615661E-5
dark :9.422406482615661E-5
side :9.422406482615661E-5

Topic:6
android :0.22206095791001454
nexus :0.2135234354990182
samsung :0.1025356441560659
galaxy :0.0683855545120806
smart :0.04277298727909161
beautiful :0.034235464868095276
simple :0.034235464868095276
live :0.034235464868095276
event :0.02569794245709895
experience :0.02569794245709895
personal :0.01716042004610262
online :0.01716042004610262
adding :0.008622897635106293
announced :0.008622897635106293
apologize :0.008622897635106293
run :0.008622897635106293
facetime :0.008622897635106293
push :0.008622897635106293
device :0.008622897635106293
prime :0.008622897635106293
line :0.008622897635106293
mind :0.008622897635106293
frozen :0.008622897635106293
xbl :0.008622897635106293
iphone :8.53752241099633E-5
crack :8.53752241099633E-5
support :8.53752241099633E-5
youtube :8.53752241099633E-5
video :8.53752241099633E-5
guy :8.53752241099633E-5
siri :8.53752241099633E-5
pretty :8.53752241099633E-5
love :8.53752241099633E-5
rim :8.53752241099633E-5
made :8.53752241099633E-5
easy :8.53752241099633E-5
switch :8.53752241099633E-5
yeah :8.53752241099633E-5
realized :8.53752241099633E-5
ios :8.53752241099633E-5
current :8.53752241099633E-5
blackberry :8.53752241099633E-5
user :8.53752241099633E-5
bit :8.53752241099633E-5
disappointed :8.53752241099633E-5
move :8.53752241099633E-5
things :8.53752241099633E-5
sooo :8.53752241099633E-5
glad :8.53752241099633E-5
gave :8.53752241099633E-5
sense :8.53752241099633E-5
humor :8.53752241099633E-5
great :8.53752241099633E-5
tonight :8.53752241099633E-5
store :8.53752241099633E-5
companies :8.53752241099633E-5
customer :8.53752241099633E-5
service :8.53752241099633E-5
apply :8.53752241099633E-5
job :8.53752241099633E-5
hope :8.53752241099633E-5
call :8.53752241099633E-5
lol :8.53752241099633E-5
lmao :8.53752241099633E-5
find :8.53752241099633E-5
hide :8.53752241099633E-5
body :8.53752241099633E-5
registered :8.53752241099633E-5
developer :8.53752241099633E-5
appreciated :8.53752241099633E-5
wow :8.53752241099633E-5
deals :8.53752241099633E-5
ipad :8.53752241099633E-5
gen :8.53752241099633E-5
offers :8.53752241099633E-5
ipads :8.53752241099633E-5
learning :8.53752241099633E-5
trip :8.53752241099633E-5
hong :8.53752241099633E-5
kong :8.53752241099633E-5
gotta :8.53752241099633E-5
hand :8.53752241099633E-5
iphones :8.53752241099633E-5
apps :8.53752241099633E-5
dark :8.53752241099633E-5
side :8.53752241099633E-5
hey :8.53752241099633E-5
send :8.53752241099633E-5
free :8.53752241099633E-5
publicly :8.53752241099633E-5
burn :8.53752241099633E-5
mac :8.53752241099633E-5
air :8.53752241099633E-5
macbook :8.53752241099633E-5
keyboard :8.53752241099633E-5
lunch :8.53752241099633E-5
break :8.53752241099633E-5
today :8.53752241099633E-5
warranty :8.53752241099633E-5
replace :8.53752241099633E-5

Topic:7
bookcase :0.07595096676355365
ass :0.06331353468975104
play :0.03803867054214584
showing :0.03803867054214584
data :0.03803867054214584
infinite :0.03803867054214584
tomorrow :0.03803867054214584
bad :0.025401238468343232
brilliant :0.025401238468343232
releases :0.025401238468343232
digital :0.025401238468343232
venturebeat :0.025401238468343232
webgl :0.025401238468343232
watch :0.025401238468343232
codename :0.025401238468343232
explorer :0.025401238468343232
ctp :0.025401238468343232
coming :0.025401238468343232
month :0.025401238468343232
blue :0.025401238468343232
bird :0.025401238468343232
hope :0.01276380639454063
info :0.01276380639454063
talking :0.01276380639454063
camera :0.01276380639454063
putting :0.01276380639454063
system :0.01276380639454063
virtual :0.01276380639454063
interesting :0.01276380639454063
cheap :0.01276380639454063
curate :0.01276380639454063
history :0.01276380639454063
canada :0.01276380639454063
tests :0.01276380639454063
appsense :0.01276380639454063
creating :0.01276380639454063
chief :0.01276380639454063
section :0.01276380639454063
living :0.01276380639454063
iphone :1.2637432073802604E-4
crack :1.2637432073802604E-4
adding :1.2637432073802604E-4
support :1.2637432073802604E-4
announced :1.2637432073802604E-4
youtube :1.2637432073802604E-4
video :1.2637432073802604E-4
guy :1.2637432073802604E-4
siri :1.2637432073802604E-4
pretty :1.2637432073802604E-4
love :1.2637432073802604E-4
rim :1.2637432073802604E-4
made :1.2637432073802604E-4
easy :1.2637432073802604E-4
switch :1.2637432073802604E-4
yeah :1.2637432073802604E-4
realized :1.2637432073802604E-4
ios :1.2637432073802604E-4
current :1.2637432073802604E-4
blackberry :1.2637432073802604E-4
user :1.2637432073802604E-4
bit :1.2637432073802604E-4
disappointed :1.2637432073802604E-4
move :1.2637432073802604E-4
android :1.2637432073802604E-4
things :1.2637432073802604E-4
sooo :1.2637432073802604E-4
glad :1.2637432073802604E-4
gave :1.2637432073802604E-4
sense :1.2637432073802604E-4
humor :1.2637432073802604E-4
great :1.2637432073802604E-4
personal :1.2637432073802604E-4
event :1.2637432073802604E-4
tonight :1.2637432073802604E-4
store :1.2637432073802604E-4
companies :1.2637432073802604E-4
experience :1.2637432073802604E-4
customer :1.2637432073802604E-4
service :1.2637432073802604E-4
apply :1.2637432073802604E-4
job :1.2637432073802604E-4
call :1.2637432073802604E-4
lol :1.2637432073802604E-4
lmao :1.2637432073802604E-4
find :1.2637432073802604E-4
hide :1.2637432073802604E-4
body :1.2637432073802604E-4
registered :1.2637432073802604E-4
developer :1.2637432073802604E-4
appreciated :1.2637432073802604E-4
wow :1.2637432073802604E-4
deals :1.2637432073802604E-4
ipad :1.2637432073802604E-4
gen :1.2637432073802604E-4
offers :1.2637432073802604E-4
ipads :1.2637432073802604E-4
learning :1.2637432073802604E-4
trip :1.2637432073802604E-4
hong :1.2637432073802604E-4
kong :1.2637432073802604E-4

Topic:8
facebook :0.15043487597981317
today :0.07527112638247611
retweets :0.06453344786857082
social :0.05379576935466552
fucking :0.043058090840760226
hours :0.03232041232685493
xbox :0.03232041232685493
fuck :0.03232041232685493
argument :0.021582733812949638
replaced :0.021582733812949638
guys :0.021582733812949638
reports :0.021582733812949638
study :0.021582733812949638
accounts :0.021582733812949638
fix :0.021582733812949638
bitch :0.021582733812949638
screenshot :0.010845055299044348
girlfriend :0.010845055299044348
worldwide :0.010845055299044348
web :0.010845055299044348
james :0.010845055299044348
story :0.010845055299044348
times :0.010845055299044348
released :0.010845055299044348
pass :0.010845055299044348
ahead :0.010845055299044348
roboto :0.010845055299044348
invention :0.010845055299044348
step :0.010845055299044348
database :0.010845055299044348
gates :0.010845055299044348
introduced :0.010845055299044348
apples :0.010845055299044348
content :0.010845055299044348
follow :0.010845055299044348
television :0.010845055299044348
give :0.010845055299044348
ugh :0.010845055299044348
drop :0.010845055299044348
age :0.010845055299044348
seconds :0.010845055299044348
iphone :1.0737678513905294E-4
crack :1.0737678513905294E-4
adding :1.0737678513905294E-4
support :1.0737678513905294E-4
announced :1.0737678513905294E-4
youtube :1.0737678513905294E-4
video :1.0737678513905294E-4
guy :1.0737678513905294E-4
siri :1.0737678513905294E-4
pretty :1.0737678513905294E-4
love :1.0737678513905294E-4
rim :1.0737678513905294E-4
made :1.0737678513905294E-4
easy :1.0737678513905294E-4
switch :1.0737678513905294E-4
yeah :1.0737678513905294E-4
realized :1.0737678513905294E-4
ios :1.0737678513905294E-4
current :1.0737678513905294E-4
blackberry :1.0737678513905294E-4
user :1.0737678513905294E-4
bit :1.0737678513905294E-4
disappointed :1.0737678513905294E-4
move :1.0737678513905294E-4
android :1.0737678513905294E-4
things :1.0737678513905294E-4
sooo :1.0737678513905294E-4
glad :1.0737678513905294E-4
gave :1.0737678513905294E-4
sense :1.0737678513905294E-4
humor :1.0737678513905294E-4
great :1.0737678513905294E-4
personal :1.0737678513905294E-4
event :1.0737678513905294E-4
tonight :1.0737678513905294E-4
store :1.0737678513905294E-4
companies :1.0737678513905294E-4
experience :1.0737678513905294E-4
customer :1.0737678513905294E-4
service :1.0737678513905294E-4
apply :1.0737678513905294E-4
job :1.0737678513905294E-4
hope :1.0737678513905294E-4
call :1.0737678513905294E-4
lol :1.0737678513905294E-4
lmao :1.0737678513905294E-4
find :1.0737678513905294E-4
hide :1.0737678513905294E-4
body :1.0737678513905294E-4
registered :1.0737678513905294E-4
developer :1.0737678513905294E-4
appreciated :1.0737678513905294E-4
wow :1.0737678513905294E-4
deals :1.0737678513905294E-4
ipad :1.0737678513905294E-4
gen :1.0737678513905294E-4
offers :1.0737678513905294E-4
ipads :1.0737678513905294E-4
learning :1.0737678513905294E-4

Topic:9
iphone :0.3615523637401313
days :0.06667934937696186
loving :0.06667934937696186
man :0.057167316655569296
million :0.03814325121278417
weekend :0.03814325121278417
sells :0.028631218491391608
rim :0.019119185769999048
made :0.019119185769999048
iphones :0.019119185769999048
jobs :0.019119185769999048
lives :0.019119185769999048
king :0.019119185769999048
fun :0.019119185769999048
emails :0.019119185769999048
dead :0.019119185769999048
easy :0.009607153048606487
replace :0.009607153048606487
screenshot :0.009607153048606487
showed :0.009607153048606487
share :0.009607153048606487
release :0.009607153048606487
seo :0.009607153048606487
launches :0.009607153048606487
press :0.009607153048606487
building :0.009607153048606487
games :0.009607153048606487
crack :9.512032721392562E-5
adding :9.512032721392562E-5
support :9.512032721392562E-5
announced :9.512032721392562E-5
youtube :9.512032721392562E-5
video :9.512032721392562E-5
guy :9.512032721392562E-5
siri :9.512032721392562E-5
pretty :9.512032721392562E-5
love :9.512032721392562E-5
switch :9.512032721392562E-5
yeah :9.512032721392562E-5
realized :9.512032721392562E-5
ios :9.512032721392562E-5
current :9.512032721392562E-5
blackberry :9.512032721392562E-5
user :9.512032721392562E-5
bit :9.512032721392562E-5
disappointed :9.512032721392562E-5
move :9.512032721392562E-5
android :9.512032721392562E-5
things :9.512032721392562E-5
sooo :9.512032721392562E-5
glad :9.512032721392562E-5
gave :9.512032721392562E-5
sense :9.512032721392562E-5
humor :9.512032721392562E-5
great :9.512032721392562E-5
personal :9.512032721392562E-5
event :9.512032721392562E-5
tonight :9.512032721392562E-5
store :9.512032721392562E-5
companies :9.512032721392562E-5
experience :9.512032721392562E-5
customer :9.512032721392562E-5
service :9.512032721392562E-5
apply :9.512032721392562E-5
job :9.512032721392562E-5
hope :9.512032721392562E-5
call :9.512032721392562E-5
lol :9.512032721392562E-5
lmao :9.512032721392562E-5
find :9.512032721392562E-5
hide :9.512032721392562E-5
body :9.512032721392562E-5
registered :9.512032721392562E-5
developer :9.512032721392562E-5
appreciated :9.512032721392562E-5
wow :9.512032721392562E-5
deals :9.512032721392562E-5
ipad :9.512032721392562E-5
gen :9.512032721392562E-5
offers :9.512032721392562E-5
ipads :9.512032721392562E-5
learning :9.512032721392562E-5
trip :9.512032721392562E-5
hong :9.512032721392562E-5
kong :9.512032721392562E-5
gotta :9.512032721392562E-5
hand :9.512032721392562E-5
apps :9.512032721392562E-5
dark :9.512032721392562E-5
side :9.512032721392562E-5
hey :9.512032721392562E-5
send :9.512032721392562E-5
free :9.512032721392562E-5
publicly :9.512032721392562E-5
burn :9.512032721392562E-5
mac :9.512032721392562E-5
air :9.512032721392562E-5
macbook :9.512032721392562E-5
keyboard :9.512032721392562E-5
lunch :9.512032721392562E-5

Topic:10
search :0.12783002438174854
windows :0.0929989550679206
nice :0.0697782421920353
shit :0.0697782421920353
screen :0.05816788575409265
computer :0.04655752931615001
guy :0.03494717287820736
start :0.03494717287820736
improvements :0.03494717287820736
pretty :0.023336816440264713
ipads :0.023336816440264713
game :0.023336816440264713
biggest :0.023336816440264713
updated :0.023336816440264713
details :0.023336816440264713
tech :0.023336816440264713
replace :0.011726460002322072
opening :0.011726460002322072
metro :0.011726460002322072
straight :0.011726460002322072
aka :0.011726460002322072
slick :0.011726460002322072
interesting :0.011726460002322072
kids :0.011726460002322072
future :0.011726460002322072
information :0.011726460002322072
scientist :0.011726460002322072
battle :0.011726460002322072
sale :0.011726460002322072
tablets :0.011726460002322072
community :0.011726460002322072
ill :0.011726460002322072
iphone :1.1610356437942646E-4
crack :1.1610356437942646E-4
adding :1.1610356437942646E-4
support :1.1610356437942646E-4
announced :1.1610356437942646E-4
youtube :1.1610356437942646E-4
video :1.1610356437942646E-4
siri :1.1610356437942646E-4
love :1.1610356437942646E-4
rim :1.1610356437942646E-4
made :1.1610356437942646E-4
easy :1.1610356437942646E-4
switch :1.1610356437942646E-4
yeah :1.1610356437942646E-4
realized :1.1610356437942646E-4
ios :1.1610356437942646E-4
current :1.1610356437942646E-4
blackberry :1.1610356437942646E-4
user :1.1610356437942646E-4
bit :1.1610356437942646E-4
disappointed :1.1610356437942646E-4
move :1.1610356437942646E-4
android :1.1610356437942646E-4
things :1.1610356437942646E-4
sooo :1.1610356437942646E-4
glad :1.1610356437942646E-4
gave :1.1610356437942646E-4
sense :1.1610356437942646E-4
humor :1.1610356437942646E-4
great :1.1610356437942646E-4
personal :1.1610356437942646E-4
event :1.1610356437942646E-4
tonight :1.1610356437942646E-4
store :1.1610356437942646E-4
companies :1.1610356437942646E-4
experience :1.1610356437942646E-4
customer :1.1610356437942646E-4
service :1.1610356437942646E-4
apply :1.1610356437942646E-4
job :1.1610356437942646E-4
hope :1.1610356437942646E-4
call :1.1610356437942646E-4
lol :1.1610356437942646E-4
lmao :1.1610356437942646E-4
find :1.1610356437942646E-4
hide :1.1610356437942646E-4
body :1.1610356437942646E-4
registered :1.1610356437942646E-4
developer :1.1610356437942646E-4
appreciated :1.1610356437942646E-4
wow :1.1610356437942646E-4
deals :1.1610356437942646E-4
ipad :1.1610356437942646E-4
gen :1.1610356437942646E-4
offers :1.1610356437942646E-4
learning :1.1610356437942646E-4
trip :1.1610356437942646E-4
hong :1.1610356437942646E-4
kong :1.1610356437942646E-4
gotta :1.1610356437942646E-4
hand :1.1610356437942646E-4
iphones :1.1610356437942646E-4
apps :1.1610356437942646E-4
dark :1.1610356437942646E-4
side :1.1610356437942646E-4
hey :1.1610356437942646E-4
send :1.1610356437942646E-4
free :1.1610356437942646E-4

Topic:11
good :0.18463041354607623
finally :0.06523390860740258
application :0.04352545316400738
paying :0.03267122544230978
tweet :0.03267122544230978
scream :0.03267122544230978
sleep :0.03267122544230978
points :0.02181699772061218
years :0.02181699772061218
worth :0.02181699772061218
bar :0.02181699772061218
space :0.02181699772061218
font :0.02181699772061218
literally :0.02181699772061218
taking :0.02181699772061218
eclipsed :0.02181699772061218
hashtags :0.02181699772061218
show :0.02181699772061218
touch :0.02181699772061218
move :0.010962769998914578
appstore :0.010962769998914578
upgrade :0.010962769998914578
click :0.010962769998914578
luck :0.010962769998914578
playing :0.010962769998914578
doubt :0.010962769998914578
spell :0.010962769998914578
volume :0.010962769998914578
